,,,,All ABO,O,A,B,AB
All Regions,All Types,All Time,,529,296,147,73,13
,,< 30 Days,,48,28,12,7,1
,,30 to < 90 Days,,70,34,22,11,3
,,90 Days to < 6 Months,,92,45,29,15,3
,,6 Months to < 1 Year,,115,58,32,19,6
,,1 Year to < 2 Years,,89,60,20,9,0
,,2 Years to < 3 Years,,52,32,13,7,0
,,3 Years to < 5 Years,,35,20,12,3,0
,,5 or More Years,,28,19,7,2,0
,Heart: Status 1A,All Time,,198,116,54,24,4
,,< 30 Days,,33,19,9,4,1
,,30 to < 90 Days,,39,21,11,6,1
,,90 Days to < 6 Months,,54,30,16,8,0
,,6 Months to < 1 Year,,41,23,12,4,2
,,1 Year to < 2 Years,,18,13,3,2,0
,,2 Years to < 3 Years,,7,6,1,0,0
,,3 Years to < 5 Years,,4,2,2,0,0
,,5 or More Years,,2,2,0,0,0
,Heart: Status 1B,All Time,,135,84,31,16,4
,,< 30 Days,,8,4,2,2,0
,,30 to < 90 Days,,13,7,5,0,1
,,90 Days to < 6 Months,,22,7,7,6,2
,,6 Months to < 1 Year,,34,19,9,5,1
,,1 Year to < 2 Years,,29,25,4,0,0
,,2 Years to < 3 Years,,19,13,4,2,0
,,3 Years to < 5 Years,,7,6,0,1,0
,,5 or More Years,,3,3,0,0,0
,Heart: Status 2,All Time,,70,34,22,13,1
,,< 30 Days,,4,3,1,0,0
,,30 to < 90 Days,,11,4,3,3,1
,,90 Days to < 6 Months,,6,4,2,0,0
,,6 Months to < 1 Year,,16,7,5,4,0
,,1 Year to < 2 Years,,17,10,4,3,0
,,2 Years to < 3 Years,,10,5,3,2,0
,,3 Years to < 5 Years,,4,1,2,1,0
,,5 or More Years,,2,0,2,0,0
,Heart: Status 7 (Inactive),All Time,,126,62,40,20,4
,,< 30 Days,,3,2,0,1,0
,,30 to < 90 Days,,7,2,3,2,0
,,90 Days to < 6 Months,,10,4,4,1,1
,,6 Months to < 1 Year,,24,9,6,6,3
,,1 Year to < 2 Years,,25,12,9,4,0
,,
,,2 Years to < 3 Years,,16,8,5,3,0
,,3 Years to < 5 Years,,20,11,8,1,0
,,5 or More Years,,21,14,5,2,0
Region  1,All Types,All Time,,19,11,6,2,0
,,< 30 Days,,1,0,1,0,0
,,30 to < 90 Days,,1,1,0,0,0
,,90 Days to < 6 Months,,4,0,2,2,0
,,6 Months to < 1 Year,,4,2,2,0,0
,,1 Year to < 2 Years,,3,3,0,0,0
,,2 Years to < 3 Years,,2,1,1,0,0
,,3 Years to < 5 Years,,1,1,0,0,0
,,5 or More Years,,3,3,0,0,0
,Heart: Status 1A,All Time,,8,1,6,1,0
,,< 30 Days,,1,0,1,0,0
,,30 to < 90 Days,,1,1,0,0,0
,,90 Days to < 6 Months,,3,0,2,1,0
,,6 Months to < 1 Year,,2,0,2,0,0
,,2 Years to < 3 Years,,1,0,1,0,0
,Heart: Status 1B,All Time,,7,6,0,1,0
,,90 Days to < 6 Months,,1,0,0,1,0
,,6 Months to < 1 Year,,1,1,0,0,0
,,1 Year to < 2 Years,,3,3,0,0,0
,,2 Years to < 3 Years,,1,1,0,0,0
,,5 or More Years,,1,1,0,0,0
,Heart: Status 7 (Inactive),All Time,,4,4,0,0,0
,,6 Months to < 1 Year,,1,1,0,0,0
,,3 Years to < 5 Years,,1,1,0,0,0
,,5 or More Years,,2,2,0,0,0
Region  2,All Types,All Time,,56,28,14,13,1
,,< 30 Days,,3,2,1,0,0
,,30 to < 90 Days,,6,1,3,2,0
,,90 Days to < 6 Months,,12,4,3,4,1
,,6 Months to < 1 Year,,14,5,5,4,0
,,1 Year to < 2 Years,,12,9,1,2,0
,,2 Years to < 3 Years,,4,3,1,0,0
,,3 Years to < 5 Years,,4,3,0,1,0
,,5 or More Years,,1,1,0,0,0
,Heart: Status 1A,All Time,,19,9,6,4,0
,,< 30 Days,,2,1,1,0,0
,,30 to < 90 Days,,3,0,2,1,0
,,90 Days to < 6 Months,,4,2,0,2,0
,,
,,6 Months to < 1 Year,,5,2,2,1,0
,,1 Year to < 2 Years,,3,2,1,0,0
,,3 Years to < 5 Years,,2,2,0,0,0
,Heart: Status 1B,All Time,,14,8,2,4,0
,,90 Days to < 6 Months,,4,1,1,2,0
,,6 Months to < 1 Year,,3,2,0,1,0
,,1 Year to < 2 Years,,3,3,0,0,0
,,2 Years to < 3 Years,,3,2,1,0,0
,,3 Years to < 5 Years,,1,0,0,1,0
,Heart: Status 2,All Time,,6,3,2,1,0
,,30 to < 90 Days,,2,1,0,1,0
,,6 Months to < 1 Year,,2,0,2,0,0
,,1 Year to < 2 Years,,2,2,0,0,0
,Heart: Status 7 (Inactive),All Time,,17,8,4,4,1
,,< 30 Days,,1,1,0,0,0
,,30 to < 90 Days,,1,0,1,0,0
,,90 Days to < 6 Months,,4,1,2,0,1
,,6 Months to < 1 Year,,4,1,1,2,0
,,1 Year to < 2 Years,,4,2,0,2,0
,,2 Years to < 3 Years,,1,1,0,0,0
,,3 Years to < 5 Years,,1,1,0,0,0
,,5 or More Years,,1,1,0,0,0
Region  3,All Types,All Time,,64,29,19,14,2
,,< 30 Days,,10,4,2,3,1
,,30 to < 90 Days,,11,4,4,2,1
,,90 Days to < 6 Months,,13,4,7,2,0
,,6 Months to < 1 Year,,12,8,1,3,0
,,1 Year to < 2 Years,,7,2,3,2,0
,,2 Years to < 3 Years,,7,4,1,2,0
,,3 Years to < 5 Years,,1,1,0,0,0
,,5 or More Years,,3,2,1,0,0
,Heart: Status 1A,All Time,,23,7,9,6,1
,,< 30 Days,,4,1,1,1,1
,,30 to < 90 Days,,5,2,2,1,0
,,90 Days to < 6 Months,,5,0,4,1,0
,,6 Months to < 1 Year,,6,3,1,2,0
,,1 Year to < 2 Years,,2,0,1,1,0
,,2 Years to < 3 Years,,1,1,0,0,0
,Heart: Status 1B,All Time,,16,8,4,4,0
,,< 30 Days,,4,1,1,2,0
,,30 to < 90 Days,,1,0,1,0,0
,,
,,90 Days to < 6 Months,,5,2,2,1,0
,,6 Months to < 1 Year,,2,2,0,0,0
,,1 Year to < 2 Years,,1,1,0,0,0
,,2 Years to < 3 Years,,2,1,0,1,0
,,3 Years to < 5 Years,,1,1,0,0,0
,Heart: Status 2,All Time,,18,8,5,4,1
,,< 30 Days,,2,2,0,0,0
,,30 to < 90 Days,,5,2,1,1,1
